work_id,doi,title,abstract,year,date,type,language,venue,venue_type,is_oa,oa_status,cited_by_count,fwci,cnp_value,is_top_1pct,is_top_10pct,referenced_works_count,primary_topic,primary_field,primary_domain,topics_json,n_authors,author_ids,author_names,institution_ids,institution_names,countries,grant_funders,prov_funder_hakai,prov_funder_tula,prov_inst_hakai,prov_inst_tula,prov_rawaff_hakai,prov_ft_hakai_inst,prov_ft_hakai_net,prov_ft_tula,prov_ft_calvert,prov_dataset,provenance_list,n_strategies,has_strong_prov,label,scope,confidence,reason
W4283030987,10.1101/2022.06.15.496305,Temperature impacts on dengue incidence are nonlinear and mediated by climatic and socioeconomic factors,"ABSTRACT Temperature can influence mosquito-borne diseases like dengue. These effects are expected to vary geographically and over time in both magnitude and direction and may interact with other environmental variables, making it difficult to anticipate changes in response to climate change. Here, we investigate global variation in temperature–dengue relationship by analyzing published correlations between temperature and dengue and matching them with remotely sensed climatic and socioeconomic data. We found that the correlation between temperature and dengue was most positive at intermediate (near 24°C) temperatures, as predicted from the thermal biology of the mosquito and virus. Positive temperature–dengue associations were strongest when temperature variation and population density were high and decreased with infection burden and rainfall mean and variation, suggesting alternative limiting factors on transmission. Our results show that while climate effects on diseases are context-dependent they are also predictable from the thermal biology of transmission and its environmental and social mediators.",2022.0,2022-06-17,preprint,en,bioRxiv (Cold Spring Harbor Laboratory),repository,True,green,1,,,False,False,62,Mosquito-borne diseases and control,Medicine,Health Sciences,"[{""id"": ""T10166"", ""name"": ""Mosquito-borne diseases and control"", ""field"": ""Medicine""}, {""id"": ""T10091"", ""name"": ""Malaria Research and Control"", ""field"": ""Medicine""}, {""id"": ""T12047"", ""name"": ""Viral Infections and Vectors"", ""field"": ""Medicine""}]",15,A5035878445|A5059189935|A5016474605|A5016923061|A5075110438|A5039974485|A5050038470|A5011535648|A5041496748|A5032113172|A5082305080|A5082332955|A5104454985|A5026332010|A5077032667,Devin Kirk|Samantha Straus|Marissa L. Childs|Mallory Harris|Lisa Couper|T. Jonathan Davies|Coreen Forbes|Alyssa‐Lois M. Gehman|Maya L. Groner|Christopher D. G. Harley|Kevin D. Lafferty|Van M. Savage|Eloise B. Skinner|Mary I. O’Connor|Erin A. Mordecai,I1286329397|I1319689352|I141945490|I161318765|I2800663845|I4210087486|I4387152364|I4387155864|I97018004,"Bigelow Laboratory for Ocean Sciences|Fisheries and Oceans Canada|Hakai Institute|Stanford University|Tula Foundation|United States Geological Survey|University of British Columbia|University of California, Los Angeles|Western Ecological Research Center",CA|US,,False,False,True,True,True,False,False,False,False,False,inst_hakai|inst_tula|rawaff_hakai,3,True,include,other_tula,medium,Hakai/Tula institutions; dengue temperature epidemiology
W4390959390,10.1126/sciadv.adk0818,A female woolly mammoth’s lifetime movements end in an ancient Alaskan hunter-gatherer camp,"Woolly mammoths in mainland Alaska overlapped with the region's first people for at least a millennium. However, it is unclear how mammoths used the space shared with people. Here, we use detailed isotopic analyses of a female mammoth tusk found in a 14,000-year-old archaeological site to show that she moved ~1000 kilometers from northwestern Canada to inhabit an area with the highest density of early archaeological sites in interior Alaska until her death. DNA from the tusk and other local contemporaneous archaeological mammoth remains revealed that multiple mammoth herds congregated in this region. Early Alaskans seem to have structured their settlements partly based on mammoth prevalence and made use of mammoths for raw materials and likely food.",2024.0,2024-01-17,article,en,Science Advances,journal,True,gold,21,16.8229,0.99296194,True,True,97,Indigenous Studies and Ecology,Health Professions,Health Sciences,"[{""id"": ""T12614"", ""name"": ""Indigenous Studies and Ecology"", ""field"": ""Health Professions""}, {""id"": ""T10421"", ""name"": ""Pleistocene-Era Hominins and Archaeology"", ""field"": ""Social Sciences""}, {""id"": ""T10087"", ""name"": ""Archaeology and ancient environmental studies"", ""field"": ""Earth and Planetary Sciences""}]",19,A5040119705|A5057144654|A5016038512|A5093458533|A5064402865|A5086589001|A5037492369|A5010981873|A5089842997|A5009343690|A5010654308|A5034461217|A5031501131|A5015123962|A5028300779|A5057016761|A5009638951|A5048125994|A5025770799,Audrey G. Rowe|Clément P. Bataille|Sina Baleka|Evelynn Combs|Barbara A. Crass|Daniel C. Fisher|Sambit Ghosh|Charles E. Holmes|Kathryn E. Krasinski|François Lanoë|Tyler J. Murchie|Hendrik N. Poinar|Ben A. Potter|Jeffrey T. Rasic|Joshua D. Reuther|Gerad M. Smith|Karen J. Spaleta|Brian T. Wygal|Matthew J. Wooller,I1304808963|I138006243|I141472210|I147853995|I153718931|I27837315|I4210087486|I4210097456|I4387155864|I71965598|I98251732,Adelphi University|Hakai Institute|McMaster University|Michigan Institute of Urology|National Park Service|Tula Foundation|University of Alaska Anchorage|University of Alaska Fairbanks|University of Arizona|University of Michigan|University of Ottawa,CA|US,,False,False,True,True,True,False,False,False,False,False,inst_hakai|inst_tula|rawaff_hakai,3,True,include,other_tula,medium,Hakai/Tula institutions; terrestrial Alaskan mammoth archaeology
W4392545237,10.1371/journal.pclm.0000152,Temperature impacts on dengue incidence are nonlinear and mediated by climatic and socioeconomic factors: A meta-analysis,"Temperature can influence mosquito-borne diseases like dengue. These effects are expected to vary geographically and over time in both magnitude and direction and may interact with other environmental variables, making it difficult to anticipate changes in response to climate change. Here, we investigate global variation in temperature–dengue relationship by analyzing published correlations between temperature and dengue and matching them with remotely sensed climatic and socioeconomic data. We found that the correlation between temperature and dengue was most positive at intermediate (near 24°C) temperatures, as predicted from an independent mechanistic model. Positive temperature–dengue associations were strongest when temperature variation and population density were high and decreased with infection burden and rainfall mean and variation, suggesting alternative limiting factors on transmission. Our results show that while climate effects on diseases are context-dependent they are also predictable from the thermal biology of transmission and its environmental and social mediators.",2024.0,2024-03-07,article,en,PLOS Climate,journal,True,gold,17,8.4671,0.98081476,False,True,75,Mosquito-borne diseases and control,Medicine,Health Sciences,"[{""id"": ""T10166"", ""name"": ""Mosquito-borne diseases and control"", ""field"": ""Medicine""}, {""id"": ""T12047"", ""name"": ""Viral Infections and Vectors"", ""field"": ""Medicine""}, {""id"": ""T10091"", ""name"": ""Malaria Research and Control"", ""field"": ""Medicine""}]",15,A5035878445|A5059189935|A5016474605|A5016923061|A5075110438|A5039974485|A5050038470|A5011535648|A5041496748|A5032113172|A5082305080|A5082332955|A5104454985|A5026332010|A5077032667,Devin Kirk|Samantha Straus|Marissa L. Childs|Mallory Harris|Lisa Couper|T. Jonathan Davies|Coreen Forbes|Alyssa‐Lois M. Gehman|Maya L. Groner|Christopher D. G. Harley|Kevin D. Lafferty|Van M. Savage|Eloise B. Skinner|Mary I. O’Connor|Erin A. Mordecai,I1286329397|I1319689352|I141945490|I161318765|I2800663845|I4210087486|I4387152364|I4387155864|I97018004,"Bigelow Laboratory for Ocean Sciences|Fisheries and Oceans Canada|Hakai Institute|Stanford University|Tula Foundation|United States Geological Survey|University of British Columbia|University of California, Los Angeles|Western Ecological Research Center",CA|US,,False,False,True,True,True,False,False,False,False,False,inst_hakai|inst_tula|rawaff_hakai,3,True,include,other_tula,medium,Hakai/Tula institutions; dengue temperature meta-analysis
W2168497148,10.1371/journal.pone.0006507,Dopamine Modulates Persistent Synaptic Activity and Enhances the Signal-to-Noise Ratio in the Prefrontal Cortex,"BACKGROUND: The importance of dopamine (DA) for prefrontal cortical (PFC) cognitive functions is widely recognized, but its mechanisms of action remain controversial. DA is thought to increase signal gain in active networks according to an inverted U dose-response curve, and these effects may depend on both tonic and phasic release of DA from midbrain ventral tegmental area (VTA) neurons. METHODOLOGY/PRINCIPAL FINDINGS: We used patch-clamp recordings in organotypic co-cultures of the PFC, hippocampus and VTA to study DA modulation of spontaneous network activity in the form of Up-states and signals in the form of synchronous EPSP trains. These cultures possessed a tonic DA level and stimulation of the VTA evoked DA transients within the PFC. The addition of high (> or = 1 microM) concentrations of exogenous DA to the cultures reduced Up-states and diminished excitatory synaptic inputs (EPSPs) evoked during the Down-state. Increasing endogenous DA via bath application of cocaine also reduced Up-states. Lower concentrations of exogenous DA (0.1 microM) had no effect on the up-state itself, but they selectively increased the efficiency of a train of EPSPs to evoke spikes during the Up-state. When the background DA was eliminated by depleting DA with reserpine and alpha-methyl-p-tyrosine, or by preparing corticolimbic co-cultures without the VTA slice, Up-states could be enhanced by low concentrations (0.1-1 microM) of DA that had no effect in the VTA containing cultures. Finally, in spite of the concentration-dependent effects on Up-states, exogenous DA at all but the lowest concentrations increased intracellular current-pulse evoked firing in all cultures underlining the complexity of DA's effects in an active network. CONCLUSIONS/SIGNIFICANCE: Taken together, these data show concentration-dependent effects of DA on global PFC network activity and they demonstrate a mechanism through which optimal levels of DA can modulate signal gain to support cognitive functioning.",2009.0,2009-08-04,article,en,PLoS ONE,journal,True,gold,171,3.5715,0.93147326,False,True,80,Neural dynamics and brain function,Neuroscience,Life Sciences,"[{""id"": ""T10581"", ""name"": ""Neural dynamics and brain function"", ""field"": ""Neuroscience""}, {""id"": ""T10056"", ""name"": ""Neurotransmitter Receptor Influence on Behavior"", ""field"": ""Neuroscience""}, {""id"": ""T10241"", ""name"": ""Functional Brain Connectivity Studies"", ""field"": ""Neuroscience""}]",4,A5068009399|A5051589166|A5085146649|A5034121962,Sven Kroener|L. Judson Chandler|Paul E. M. Phillips|Jeremy K. Seamans,I141945490|I153297377|I201448701|I4210115859,"Behavioral Tech Research, Inc.|Medical University of South Carolina|University of British Columbia|University of Washington",CA|US,,False,True,False,False,False,False,False,True,False,False,funder_tula|ft_tula,2,True,include,other_tula,medium,"Tula funder; dopamine neuroscience, not coastal"
W2072699152,10.1523/jneurosci.2842-09.2009,PKMζ Restricts Dendritic Arbor Growth by Filopodial and Branch Stabilization within the Intact and Awake Developing Brain,"The molecular mechanisms underlying activity-dependent neural circuit growth and plasticity during early brain development remain poorly understood. Protein kinase Mzeta (PKMz), an endogenous constitutively active kinase associated with late-phase long-term synaptic potentiation and memory in the mature brain, is expressed in the embryonic Xenopus retinotectal system with heightened levels during peak periods of dendrite growth and synaptogenesis. In vivo rapid time-lapse imaging of actively growing tectal neurons and comprehensive three-dimensional tracking of dynamic dendritic growth behavior finds that altered PKMz activity affects morphologic stabilization. Exogenous expression of PKMz within single neurons stabilizes dendritic filopodia by increasing dendritic filopodial lifetimes and decreasing filopodial additions, eliminations, and motility, whereas long-term in vivo imaging demonstrates restricted expansion of the dendritic arbor. Alternatively, blocking endogenous PKMz activity in individual growing tectal neurons with an inhibitory peptide (zeta-inhibitory peptide) destabilizes dendritic filopodia and over long periods promotes excessive arbor expansion. Furthermore, inhibiting endogenous PKMz throughout the tectum decreases colocalization of immunostained presynaptic and postsynaptic markers, SNAP-25 and PSD-95, respectively, suggesting impaired synapse maintenance. Together, these results implicate PKMz activity in restricting dendritic arborization during embryonic brain circuit development through synaptotropic stabilization of dynamic processes.",2009.0,2009-09-30,article,en,Journal of Neuroscience,journal,True,bronze,26,1.9875,0.84684731,False,False,26,Neuroscience and Neuropharmacology Research,Neuroscience,Life Sciences,"[{""id"": ""T10077"", ""name"": ""Neuroscience and Neuropharmacology Research"", ""field"": ""Neuroscience""}, {""id"": ""T10342"", ""name"": ""Circadian rhythm and melatonin"", ""field"": ""Neuroscience""}, {""id"": ""T12236"", ""name"": ""Photoreceptor and optogenetics research"", ""field"": ""Neuroscience""}]",3,A5102129686|A5067681880|A5018243297,Xue Feng Liu|Parisa Karimi Tari|Kurt Haas,I1287378978|I141945490,University of British Columbia|University of British Columbia Hospital,CA,,False,True,False,False,False,False,False,True,False,False,funder_tula|ft_tula,2,True,include,other_tula,medium,"Tula funder; dendrite neuroscience, not coastal"
W2057489281,10.1371/journal.pone.0107756,The Effect of S-Adenosylmethionine on Cognitive Performance in Mice: An Animal Model Meta-Analysis,"BACKGROUND: Alzheimer's disease (AD) is the most frequently diagnosed form of dementia resulting in cognitive impairment. Many AD mouse studies, using the methyl donor S-adenosylmethionine (SAM), report improved cognitive ability, but conflicting results between and within studies currently exist. To address this, we conducted a meta-analysis to evaluate the effect of SAM on cognitive ability as measured by Y maze performance. As supporting evidence, we include further discussion of improvements in cognitive ability, by SAM, as measured by the Morris water maze (MWM). METHODS: We conducted a comprehensive literature review up to April 2014 based on searches querying MEDLINE, EMBASE, Web of Science, the Cochrane Library and Proquest Theses and Dissertation databases. We identified three studies containing a total of 12 experiments that met our inclusion criteria and one study for qualitative review. The data from these studies were used to evaluate the effect of SAM on cognitive performance according to two scenarios: 1. SAM supplemented folate deficient (SFD) diet compared to a folate deficient (FD) diet and 2. SFD diet compared to a nutrient complete (NC) diet. Hedge's g was used to calculate effect sizes and mixed effects model meta-regression was used to evaluate moderating factors. RESULTS: Our findings showed that the SFD diet was associated with improvements in cognitive performance. SFD diet mice also had superior cognitive performance compared to mice on an NC diet. Further to this, meta-regression analyses indicated a significant positive effect of study quality score and treatment duration on the effect size estimate for both the FD vs SFD analysis and the SFD vs NC analysis. CONCLUSION: The findings of this meta-analysis demonstrate efficacy of SAM in acting as a cognitive performance-enhancing agent. As a corollary, SAM may be useful in improving spatial memory in patients suffering from many dementia forms including AD.",2014.0,2014-10-27,review,en,PLoS ONE,journal,True,gold,36,2.9721,0.90391311,False,True,38,Folate and B Vitamins Research,Medicine,Health Sciences,"[{""id"": ""T10499"", ""name"": ""Folate and B Vitamins Research"", ""field"": ""Medicine""}, {""id"": ""T12494"", ""name"": ""Alcoholism and Thiamine Deficiency"", ""field"": ""Medicine""}, {""id"": ""T10445"", ""name"": ""Antioxidant Activity and Oxidative Stress"", ""field"": ""Medicine""}]",4,A5066609936|A5060058583|A5067245591|A5056719307,Sarah Montgomery|Amir A. Sepehry|John D. Wangsgaard|Jeremy E. Koenig,I1287378978|I129902397|I141945490|I179301192,Dalhousie University|Mount Saint Vincent University|University of British Columbia|University of British Columbia Hospital,CA,,False,True,False,False,False,False,False,True,False,False,funder_tula|ft_tula,2,True,include,other_tula,low,"Tula-funded cognition meta-analysis, not coastal"
W2122770303,10.3389/fnins.2013.00074,Abrupt changes in the patterns and complexity of anterior cingulate cortex activity when food is introduced into an environment,"Foraging typically involves two distinct phases, an exploration phase where an organism explores its local environment in search of needed resources and an exploitation phase where a discovered resource is consumed. The behavior and cognitive requirements of exploration and exploitation are quite different and yet organisms can quickly and efficiently switch between them many times during a foraging bout. The present study investigated neural activity state dynamics in the anterior cingulate sub-region of the rat medial prefrontal cortex (mPFC) when a reliable food source was introduced into an environment. Distinct and largely independent states were detected using a Hidden Markov Model (HMM) when food was present or absent in the environment. Measures of neural entropy or complexity decreased when rats went from exploring the environment to exploiting a reliable food source. Exploration in the absence of food was associated with many weak activity states, while bouts of food consumption were characterized by fewer stronger states. Widespread activity state changes in the mPFC may help to inform foraging decisions and focus behavior on what is currently most prominent or valuable in the environment.",2013.0,2013-01-01,article,en,Frontiers in Neuroscience,journal,True,gold,19,1.2533,0.79203732,False,False,54,Neural dynamics and brain function,Neuroscience,Life Sciences,"[{""id"": ""T10581"", ""name"": ""Neural dynamics and brain function"", ""field"": ""Neuroscience""}, {""id"": ""T11584"", ""name"": ""Biochemical Analysis and Sensing Techniques"", ""field"": ""Nursing""}, {""id"": ""T10042"", ""name"": ""Neural and Behavioral Psychology Studies"", ""field"": ""Neuroscience""}]",5,A5024905016|A5005733297|A5055793063|A5039496675|A5034121962,Barak F. Caracheo|Eldon Emberly|Shirin Hadizadeh|James M. Hyman|Jeremy K. Seamans,I141945490|I18014758,Simon Fraser University|University of British Columbia,CA,,False,True,False,False,False,False,False,True,False,False,funder_tula|ft_tula,2,True,include,other_tula,low,"Tula-funded neuroscience foraging study, not coastal"
W2038752642,10.1016/j.tics.2006.06.008,Improving reverse neuroimaging inference: cognitive domain versus cognitive complexity,,2006.0,2006-07-26,review,en,Trends in Cognitive Sciences,journal,False,closed,42,2.3744,0.87777369,False,False,16,Neural dynamics and brain function,Neuroscience,Life Sciences,"[{""id"": ""T10581"", ""name"": ""Neural dynamics and brain function"", ""field"": ""Neuroscience""}, {""id"": ""T10241"", ""name"": ""Functional Brain Connectivity Studies"", ""field"": ""Neuroscience""}, {""id"": ""T10042"", ""name"": ""Neural and Behavioral Psychology Studies"", ""field"": ""Neuroscience""}]",2,A5077328267|A5045223798,Kalina Christoff|Amanda Owen,I141945490|I192597271,MRC Cognition and Brain Sciences Unit|University of British Columbia,CA|GB,,False,True,False,False,False,False,False,False,False,False,funder_tula,1,True,include,other_tula,low,"Tula-funded UBC neuroimaging review, not coastal"
W4247554376,10.3189/s0260305500008648,Summary of Final Discussion,"An abstract is not available for this content. As you have access to this content, full HTML content is provided on this page. A PDF of this content is also available in through the ‘Save PDF’ action button.",1990.0,1990-01-01,article,en,Annals of Glaciology,journal,False,closed,0,0.0,0.49272005,False,False,2,Mental Health Research Topics,Psychology,Social Sciences,"[{""id"": ""T13283"", ""name"": ""Mental Health Research Topics"", ""field"": ""Psychology""}, {""id"": ""T14242"", ""name"": ""Nutrition, Health, and Society Studies"", ""field"": ""Agricultural and Biological Sciences""}, {""id"": ""T13370"", ""name"": ""Diverse Scientific and Economic Studies"", ""field"": ""Economics, Econometrics and Finance""}]",1,A5080440606,W.S.B. Paterson,I4210087486,Tula Foundation,CA,,False,False,False,True,False,False,False,False,False,False,inst_tula,1,True,include,other_tula,low,Heriot Bay glaciology discussion (Peterson); not coastal
W2068332307,10.1164/rccm.201111-2075oc,The Lung Tissue Microbiome in Chronic Obstructive Pulmonary Disease,"RATIONALE: Based on surface brushings and bronchoalveolar lavage fluid, Hilty and coworkers demonstrated microbiomes in the human lung characteristic of asthma and chronic obstructive pulmonary disease (COPD), which have now been confirmed by others. OBJECTIVES: To extend these findings to human lung tissue samples. METHODS: DNA from lung tissue samples was obtained from nonsmokers (n = 8); smokers without COPD (n = 8); patients with very severe COPD (Global Initiative for COPD [GOLD] 4) (n = 8); and patients with cystic fibrosis (CF) (n = 8). The latter served as a positive control, with sterile water as a negative control. All bacterial community analyses were based on polymerase chain reaction amplifying 16S rRNA gene fragments. Total bacterial populations were measured by quantitative polymerase chain reaction and bacterial community composition was assessed by terminal restriction fragment length polymorphism analysis and pyrotag sequencing. MEASUREMENT AND MAIN RESULTS: Total bacterial populations within lung tissue were small (20-1,252 bacterial cells per 1,000 human cells) but greater in all four sample groups versus the negative control group (P < 0.001). Terminal restriction fragment length polymorphism analysis and sequencing distinguished three distinct bacterial community compositions: one common to the nonsmoker and smoker groups, a second to the GOLD 4 group, and the third to the CF-positive control group. Pyrotag sequencing identified greater than 1,400 unique bacterial sequences and showed an increase in the Firmicutes phylum in GOLD 4 patients versus all other groups (P < 0.003) attributable to an increase in the Lactobacillus genus (P < 0.0007). CONCLUSIONS: There is a detectable bacterial community within human lung tissue that changes in patients with very severe COPD.",2012.0,2012-03-16,article,en,American Journal of Respiratory and Critical Care Medicine,journal,False,closed,551,35.5733,0.9986783,True,True,66,Cystic Fibrosis Research Advances,Medicine,Health Sciences,"[{""id"": ""T10665"", ""name"": ""Cystic Fibrosis Research Advances"", ""field"": ""Medicine""}, {""id"": ""T10066"", ""name"": ""Gut microbiota and health"", ""field"": ""Biochemistry, Genetics and Molecular Biology""}, {""id"": ""T13770"", ""name"": ""Pediatric health and respiratory diseases"", ""field"": ""Health Professions""}]",10,A5013025040|A5055683802|A5070166085|A5111696429|A5047652105|A5065223803|A5104086011|A5042188739|A5028186844|A5091776168,Marc A. Sze|Pedro A. Dimitriu|Shizu Hayashi|W. Mark Elliott|John E. McDonough|John V. Gosselink|Joel D. Cooper|Don D. Sin|William W. Mohn|James C. Hogg,I141945490|I196272386|I4210101049|I79576946,Lung Institute|Providence College|University of British Columbia|University of Pennsylvania,CA|US,,False,True,False,False,False,False,False,False,False,False,funder_tula,1,True,include,other_tula,low,Tula-funded UBC lung microbiome; not coastal
