work_id,doi,title,abstract,year,date,type,language,venue,venue_type,is_oa,oa_status,cited_by_count,fwci,cnp_value,is_top_1pct,is_top_10pct,referenced_works_count,primary_topic,primary_field,primary_domain,topics_json,n_authors,author_ids,author_names,institution_ids,institution_names,countries,grant_funders,prov_funder_hakai,prov_funder_tula,prov_inst_hakai,prov_inst_tula,prov_rawaff_hakai,prov_ft_hakai_inst,prov_ft_hakai_net,prov_ft_tula,prov_ft_calvert,prov_dataset,provenance_list,n_strategies,has_strong_prov,label,scope,confidence,reason
W2794734225,10.1371/journal.pone.0193522,Terminal Pleistocene epoch human footprints from the Pacific coast of Canada,"Little is known about the ice age human occupation of the Pacific Coast of Canada. Here we present the results of a targeted investigation of a late Pleistocene shoreline on Calvert Island, British Columbia. Drawing upon existing geomorphic information that sea level in the area was 2-3 m lower than present between 14,000 and 11,000 years ago, we began a systematic search for archaeological remains dating to this time period beneath intertidal beach sediments. During subsurface testing, we uncovered human footprints impressed into a 13,000-year-old paleosol beneath beach sands at archaeological site EjTa-4. To date, our investigations at this site have revealed a total of 29 footprints of at least three different sizes. The results presented here add to the growing body of information pertaining to the early deglaciation and associated human presence on the west coast of Canada at the end of the Last Glacial Maximum.",2018.0,2018-03-28,article,en,PLoS ONE,journal,True,gold,111,93.4369,0.9990329,True,True,79,Pleistocene-Era Hominins and Archaeology,Social Sciences,Social Sciences,"[{""id"": ""T10421"", ""name"": ""Pleistocene-Era Hominins and Archaeology"", ""field"": ""Social Sciences""}, {""id"": ""T10017"", ""name"": ""Geology and Paleoclimatology Research"", ""field"": ""Earth and Planetary Sciences""}, {""id"": ""T10659"", ""name"": ""Marine animal studies overview"", ""field"": ""Environmental Science""}]",6,A5103104432|A5013504954|A5049287803|A5068146760|A5001967494|A5054381529,Duncan McLaren|Daryl Fedje|Angela Dyck|Quentin Mackie|Alisha Gauvreau|Jenny Cohen,I212119943|I4210087486|I4387155864,Hakai Institute|Tula Foundation|University of Victoria,CA,,True,True,True,True,True,True,False,True,True,False,funder_hakai|funder_tula|inst_hakai|inst_tula|rawaff_hakai|ft_hakai_inst|ft_tula|ft_calvert,8,True,include,coastal,high,Hakai/Tula affil; Calvert Island coastal archaeology
W2077382215,10.1371/journal.pone.0101595,Indigenous Knowledge and Science Unite to Reveal Spatial and Temporal Dimensions of Distributional Shift in Wildlife of Conservation Concern,"Range shifts among wildlife can occur rapidly and impose cascading ecological, economic, and cultural consequences. However, occurrence data used to define distributional limits derived from scientific approaches are often outdated for wide ranging and elusive species, especially in remote environments. Accordingly, our aim was to amalgamate indigenous and western scientific evidence of grizzly bear (Ursus arctos horribilis) records and detail a potential range shift on the central coast of British Columbia, Canada. In addition, we test the hypothesis that data from each method yield similar results, as well as illustrate the complementary nature of this coupled approach. Combining information from traditional and local ecological knowledge (TEK/LEK) interviews with remote camera, genetic, and hunting data revealed that grizzly bears are now present on 10 islands outside their current management boundary. LEK interview data suggested this expansion has accelerated over the last 10 years. Both approaches provided complementary details and primarily affirmed one another: all islands with scientific evidence for occupation had consistent TEK/LEK evidence. Moreover, our complementary methods approach enabled a more spatially and temporally detailed account than either method would have afforded alone. In many cases, knowledge already held by local indigenous people could provide timely and inexpensive data about changing ecological processes. However, verifying the accuracy of scientific and experiential knowledge by pairing sources at the same spatial scale allows for increased confidence and detail. A similarly coupled approach may be useful across taxa in many regions.",2014.0,2014-07-23,article,en,PLoS ONE,journal,True,gold,90,4.3334,0.93640186,False,True,69,Wildlife Ecology and Conservation,Environmental Science,Physical Sciences,"[{""id"": ""T10199"", ""name"": ""Wildlife Ecology and Conservation"", ""field"": ""Environmental Science""}, {""id"": ""T10895"", ""name"": ""Species Distribution and Climate Change"", ""field"": ""Environmental Science""}, {""id"": ""T12614"", ""name"": ""Indigenous Studies and Ecology"", ""field"": ""Health Professions""}]",6,A5075084673|A5007848169|A5011972842|A5037947192|A5057855675|A5013806822,Christina N. Service|Megan S. Adams|Kyle A. Artelle|Paul C. Paquet|Laura V. Grant|Chris T. Darimont,I18014758|I212119943|I4210087486|I4210145271,Raincoast Conservation Foundation|Simon Fraser University|Tula Foundation|University of Victoria,CA,,True,True,False,True,True,False,True,True,True,False,funder_hakai|funder_tula|inst_tula|rawaff_hakai|ft_hakai_net|ft_tula|ft_calvert,7,True,include,coastal,high,Hakai Beach Institute affil; BC central coast wildlife
W2403896480,10.1038/srep25936,Ecology of conflict: marine food supply affects human-wildlife interactions on land,"Human-wildlife conflicts impose considerable costs to people and wildlife worldwide. Most research focuses on proximate causes, offering limited generalizable understanding of ultimate drivers. We tested three competing hypotheses (problem individuals, regional population saturation, limited food supply) that relate to underlying processes of human-grizzly bear (Ursus arctos horribilis) conflict, using data from British Columbia, Canada, between 1960-2014. We found most support for the limited food supply hypothesis: in bear populations that feed on spawning salmon (Oncorhynchus spp.), the annual number of bears/km(2) killed due to conflicts with humans increased by an average of 20% (6-32% [95% CI]) for each 50% decrease in annual salmon biomass. Furthermore, we found that across all bear populations (with or without access to salmon), 81% of attacks on humans and 82% of conflict kills occurred after the approximate onset of hyperphagia (July 1(st)), a period of intense caloric demand. Contrary to practices by many management agencies, conflict frequency was not reduced by hunting or removal of problem individuals. Our finding that a marine resource affects terrestrial conflict suggests that evidence-based policy for reducing harm to wildlife and humans requires not only insight into ultimate drivers of conflict, but also management that spans ecosystem and jurisdictional boundaries.",2016.0,2016-05-17,article,en,Scientific Reports,journal,True,gold,79,3.0913,0.90413836,False,True,61,Wildlife Ecology and Conservation,Environmental Science,Physical Sciences,"[{""id"": ""T10199"", ""name"": ""Wildlife Ecology and Conservation"", ""field"": ""Environmental Science""}, {""id"": ""T10659"", ""name"": ""Marine animal studies overview"", ""field"": ""Environmental Science""}, {""id"": ""T10302"", ""name"": ""Fish Ecology and Management Studies"", ""field"": ""Environmental Science""}]",6,A5011972842|A5101957746|A5064567858|A5071174113|A5037947192|A5013806822,Kyle A. Artelle|Sean C. Anderson|John D. Reynolds|Andrew B. Cooper|Paul C. Paquet|Chris T. Darimont,I18014758|I212119943|I4210087486|I4210145271|I4387155864,Hakai Institute|Raincoast Conservation Foundation|Simon Fraser University|Tula Foundation|University of Victoria,CA,,True,True,True,True,True,False,True,True,False,False,funder_hakai|funder_tula|inst_hakai|inst_tula|rawaff_hakai|ft_hakai_net|ft_tula,7,True,include,coastal,high,Hakai/Tula affil; BC marine-coastal ecology
W2510337539,10.1038/ncomms12491,Intertidal resource use over millennia enhances forest productivity,"Human occupation is usually associated with degraded landscapes but 13,000 years of repeated occupation by British Columbia's coastal First Nations has had the opposite effect, enhancing temperate rainforest productivity. This is particularly the case over the last 6,000 years when intensified intertidal shellfish usage resulted in the accumulation of substantial shell middens. We show that soils at habitation sites are higher in calcium and phosphorous. Both of these are limiting factors in coastal temperate rainforests. Western redcedar (Thuja plicata) trees growing on the middens were found to be taller, have higher wood calcium, greater radial growth and exhibit less top die-back. Coastal British Columbia is the first known example of long-term intertidal resource use enhancing forest productivity and we expect this pattern to occur at archaeological sites along coastlines globally.",2016.0,2016-08-30,article,en,Nature Communications,journal,True,gold,70,11.6173,0.98829145,False,True,39,Aeolian processes and effects,Earth and Planetary Sciences,Physical Sciences,"[{""id"": ""T12383"", ""name"": ""Aeolian processes and effects"", ""field"": ""Earth and Planetary Sciences""}, {""id"": ""T10017"", ""name"": ""Geology and Paleoclimatology Research"", ""field"": ""Earth and Planetary Sciences""}, {""id"": ""T12729"", ""name"": ""Tree Root and Stability Studies"", ""field"": ""Engineering""}]",7,A5016886025|A5046684242|A5005913070|A5088459811|A5103104432|A5047661626|A5056854078,Andrew J. Trant|Wiebe Nijland|Kira M. Hoffman|Darcy Mathews|Duncan McLaren|Trisalyn Nelson|Brian M. Starzomski,I151746483|I212119943|I4210087486|I4387155864|I55732556,Arizona State University|Hakai Institute|Tula Foundation|University of Victoria|University of Waterloo,CA|US,,True,False,True,True,True,True,False,False,True,False,funder_hakai|inst_hakai|inst_tula|rawaff_hakai|ft_hakai_inst|ft_calvert,6,True,include,coastal,high,Hakai Calvert Island affil; intertidal coastal study
W2795252114,10.5751/es-09980-230144,Democratizing conservation science and practice,"Salomon, A. K., K. Lertzman, K. Brown, K. B. Wilson, D. Secord, and I. McKechnie. 2018. Democratizing conservation science and practice. Ecology and Society 23(1):44. https://doi.org/10.5751/ES-09980-230144",2018.0,2018-01-01,article,en,Ecology and Society,journal,True,gold,69,9.2688,0.98192735,False,True,89,Zoonotic diseases and public health,Medicine,Health Sciences,"[{""id"": ""T12492"", ""name"": ""Zoonotic diseases and public health"", ""field"": ""Medicine""}, {""id"": ""T12614"", ""name"": ""Indigenous Studies and Ecology"", ""field"": ""Health Professions""}, {""id"": ""T12965"", ""name"": ""Wildlife Conservation and Criminology Analyses"", ""field"": ""Environmental Science""}]",6,A5038244437|A5086069887|A5009403492|A5059090212|A5020610420|A5061319955,Anne K. Salomon|Ken Lertzman|Kelly L. Brown|Ḵii'iljuus Barbara J. Wilson|Dave Secord|Iain McKechnie,I18014758|I201448701|I212119943|I4387155864,Hakai Institute|Simon Fraser University|University of Victoria|University of Washington,CA|US,,True,True,True,False,True,True,True,True,False,False,funder_hakai|funder_tula|inst_hakai|rawaff_hakai|ft_hakai_inst|ft_hakai_net|ft_tula,7,True,include,coastal,high,Hakai affil; BC coastal conservation science
W4323811122,10.1002/ecy.4027,Heatwave restructures marine intertidal communities across a stress gradient,"Significant questions remain about how ecosystems that are structured by abiotic stress will be affected by climate change. Warmer temperatures are hypothesized to shift species along abiotic gradients such that distributions track changing environments where physical conditions allow. However, community-scale impacts of extreme warming in heterogeneous landscapes are likely to be more complex. We investigated the impacts of a multiyear marine heatwave on intertidal community dynamics and zonation on a wave-swept rocky coastline along the Central Coast of British Columbia, Canada. Leveraging an 8-year time series with high seaweed taxonomic resolution (116 taxa) that was established 3 years prior to the heatwave, we document major shifts in zonation and abundance of populations that led to substantial reorganization at the community level. The heatwave was associated with shifts in primary production away from upper elevations through declines in seaweed cover and partial replacement by invertebrates. At low elevations, seaweed cover remained stable or recovered rapidly following decline, being balanced by increases in some species and decreases in others. These results illustrate that, rather than shifting community zonation uniformly along abiotic stress gradients, intense and lasting warming events may restructure patterns of ecological dominance and reduce total habitability of ecosystems, especially at extreme ends of pre-existing abiotic gradients.",2023.0,2023-03-10,article,en,Ecology,journal,True,hybrid,40,10.1263,0.9881907,False,True,118,Marine and coastal plant biology,Earth and Planetary Sciences,Physical Sciences,"[{""id"": ""T10643"", ""name"": ""Marine and coastal plant biology"", ""field"": ""Earth and Planetary Sciences""}, {""id"": ""T10765"", ""name"": ""Marine Biology and Ecology Research"", ""field"": ""Earth and Planetary Sciences""}, {""id"": ""T10341"", ""name"": ""Coral and Marine Ecosystems Studies"", ""field"": ""Environmental Science""}]",4,A5079238365|A5039774004|A5036908789|A5085791255,Matthew A. Whalen|Samuel Starko|Sandra C. Lindstrom|Patrick T. Martone,I141945490|I177877127|I2801975132|I4210087486|I4387155864,Hakai Institute|Ocean Institute|The University of Western Australia|Tula Foundation|University of British Columbia,AU|CA|US,,True,True,True,True,True,True,False,True,True,False,funder_hakai|funder_tula|inst_hakai|inst_tula|rawaff_hakai|ft_hakai_inst|ft_tula|ft_calvert,8,True,include,coastal,high,Hakai Calvert affil; marine intertidal heatwave
W2551089441,10.1111/ecog.02383,Isolation predicts compositional change after discrete disturbances in a global meta‐study,"Globally, anthropogenic disturbances are occurring at unprecedented rates and over extensive spatial and temporal scales. Human activities also affect natural disturbances, prompting shifts in their timing and intensities. Thus, there is an urgent need to understand and predict the response of ecosystems to disturbance. In this study, we investigated whether there are general determinants of community response to disturbance across different community types, locations, and disturbance events. We compiled 14 case studies of community response to disturbance from four continents, twelve aquatic and terrestrial ecosystem types, and eight different types of disturbance. We used community compositional differences and species richness to indicate community response. We used mixed‐effects modeling to test the relationship between each of these response metrics and four potential explanatory factors: regional species pool size, isolation, number of generations passed, and relative disturbance intensity. We found that compositional similarity was higher between pre‐ and post‐disturbance communities when the disturbed community was connected to adjacent undisturbed habitat. The number of generations that had passed since the disturbance event was a significant, but weak, predictor of community compositional change; two communities were responsible for the observed relationship. We found no significant relationships between the factors we tested and changes in species richness. To our knowledge, this is the first attempt to search for general drivers of community resilience from a diverse set of case studies. The strength of the relationship between compositional change and isolation suggests that it may be informative in resilience research and biodiversity management.",2016.0,2016-11-10,article,en,Ecography,journal,True,bronze,38,9.2307,0.98158766,False,True,83,Ecology and Vegetation Dynamics Studies,Environmental Science,Physical Sciences,"[{""id"": ""T10005"", ""name"": ""Ecology and Vegetation Dynamics Studies"", ""field"": ""Environmental Science""}, {""id"": ""T13377"", ""name"": ""Ecosystem dynamics and resilience"", ""field"": ""Environmental Science""}, {""id"": ""T10895"", ""name"": ""Species Distribution and Climate Change"", ""field"": ""Environmental Science""}]",17,A5058102009|A5056854078|A5020274690|A5108505257|A5089920187|A5008200989|A5041795161|A5033756643|A5034791295|A5003371615|A5051966858|A5086739528|A5031161391|A5045426078|A5037522197|A5042688454|A5068602292,Nancy Shackelford|Brian M. Starzomski|Natasha Banning|Loretta L. Battaglia|Alistair Becker|Peter J. Bellingham|Brandon T. Bestelmeyer|Jane A. Catford|John M. Dwyer|Mats Dynesius|James Gilmour|Lauren M. Hallett|Richard J. Hobbs|Jodi N. Price|Takehiro Sasaki|E. V. J. Tanner|Rachel J. Standish,I10052268|I110378019|I118347636|I130238516|I1312222531|I1328540965|I153230381|I159385669|I165143802|I165779595|I176790772|I177877127|I212119943|I241749|I2801559191|I4210087486|I4210094865|I4210161554|I43439940|I4387155864|I86609021|I90267481|I95457486,"Agricultural Research Service|Australian Institute of Marine Science|Australian National University|CSIRO Land and Water|Charles Sturt University|Chiba University|Hakai Institute|Manaaki Whenua – Landcare Research|Murdoch University|New Mexico State University|New South Wales Department of Primary Industries|Pacific Institute for Climate Solutions|Southern Illinois University Carbondale|The University of Melbourne|The University of Queensland|The University of Western Australia|Tula Foundation|Umeå University|University of California, Berkeley|University of Cambridge|University of Minnesota|University of Southampton|University of Victoria",AU|CA|GB|JP|NZ|SE|US,,True,False,True,True,True,True,False,False,True,False,funder_hakai|inst_hakai|inst_tula|rawaff_hakai|ft_hakai_inst|ft_calvert,6,True,include,coastal,high,Hakai Calvert affil; BC ecological disturbance study
W3012060532,10.1098/rspb.2020.0108,Marine subsidies mediate patterns in avian island biogeography,"The classical theory of island biogeography , which predicts species richness using island area and isolation, has been expanded to include contributions from marine subsidies, i.e. subsidized island biogeography (SIB) theory . We tested the effects of marine subsidies on species diversity and population density on productive temperate islands, evaluating SIB predictions previously untested at comparable scales and subsidy levels. We found that the diversity of terrestrial breeding bird communities on 91 small islands (approx. 0.0001–3 km 2 ) along the Central Coast of British Columbia, Canada were correlated most strongly with island area, but also with marine subsidies. Species richness increased and population density decreased with island area, but isolation had no measurable influence. Species richness was negatively correlated with marine subsidy, measured as forest-edge soil δ 15 N. Density, however, was higher on islands with higher marine subsidy, and a negative interaction between area and subsidy indicates that this effect is stronger on smaller islands, offering some support for SIB. Our study emphasizes how subsidies from the sea can shape diversity patterns on islands and can even exceed the importance of isolation in determining species richness and densities of terrestrial biota.",2020.0,2020-03-11,article,en,Proceedings of the Royal Society B Biological Sciences,journal,True,hybrid,36,7.1716,0.97582494,False,True,59,Ecology and Vegetation Dynamics Studies,Environmental Science,Physical Sciences,"[{""id"": ""T10005"", ""name"": ""Ecology and Vegetation Dynamics Studies"", ""field"": ""Environmental Science""}, {""id"": ""T11913"", ""name"": ""Animal Ecology and Behavior Studies"", ""field"": ""Environmental Science""}, {""id"": ""T12073"", ""name"": ""Isotope Analysis in Ecology"", ""field"": ""Environmental Science""}]",11,A5028712583|A5026655702|A5045258990|A5036108995|A5009677360|A5066453259|A5046684242|A5108321813|A5013806822|A5056854078|A5064567858,Debora S. Obrist|Patrick J. Hanly|Jeremiah C. Kennedy|Owen T. Fitzpatrick|Sara Wickham|Crystal M. Ernst|Wiebe Nijland|Luba Y. Reshitnyk|Chris T. Darimont|Brian M. Starzomski|John D. Reynolds,I18014758|I193662353|I212119943|I4210087486|I4210145271|I4387155864,Hakai Institute|Raincoast Conservation Foundation|Simon Fraser University|Tula Foundation|University of Victoria|Utrecht University,CA|NL,,True,True,True,True,True,True,False,True,True,False,funder_hakai|funder_tula|inst_hakai|inst_tula|rawaff_hakai|ft_hakai_inst|ft_tula|ft_calvert,8,True,include,coastal,high,Hakai/Tula affil; BC marine island biogeography
W2625281702,10.3390/v9060152,Nutrients and Other Environmental Factors Influence Virus Abundances across Oxic and Hypoxic Marine Environments,"Virus particles are highly abundant in seawater and, on average, outnumber microbial cells approximately 10-fold at the surface and 16-fold in deeper waters; yet, this relationship varies across environments. Here, we examine the influence of a suite of environmental variables, including nutrient concentrations, salinity and temperature, on the relationship between the abundances of viruses and prokaryotes over a broad range of spatial and temporal scales, including along a track from the Northwest Atlantic to the Northeast Pacific via the Arctic Ocean, and in the coastal waters of British Columbia, Canada. Models of varying complexity were tested and compared for best fit with the Akaike Information Criterion, and revealed that nitrogen and phosphorus concentrations, as well as prokaryote abundances, either individually or combined, had significant effects on viral abundances in all but hypoxic environments, which were only explained by a combination of physical and chemical factors. Nonetheless, multivariate models of environmental variables showed high explanatory power, matching or surpassing that of prokaryote abundance alone. Incorporating both environmental variables and prokaryote abundances into multivariate models significantly improved the explanatory power of the models, except in hypoxic environments. These findings demonstrate that environmental factors could be as important as, or even more important than, prokaryote abundance in describing viral abundance across wide-ranging marine environments.",2017.0,2017-06-17,article,en,Viruses,journal,True,gold,58,4.016,0.93462384,False,True,55,Bacteriophages and microbial interactions,Environmental Science,Physical Sciences,"[{""id"": ""T11048"", ""name"": ""Bacteriophages and microbial interactions"", ""field"": ""Environmental Science""}, {""id"": ""T11791"", ""name"": ""Microbial Community Ecology and Physiology"", ""field"": ""Environmental Science""}, {""id"": ""T11243"", ""name"": ""Respiratory viral infections research"", ""field"": ""Medicine""}]",5,A5001193331|A5043016649|A5051292058|A5084974249,Jan F. Finke|Brian P. V. Hunt|Christian Winter|Eddy C. Carmack|Curtis A. Suttle,I1319689352|I141945490|I4210087486|I4387155864,Fisheries and Oceans Canada|Hakai Institute|Tula Foundation|University of British Columbia,CA,,True,True,True,True,True,True,False,True,False,False,funder_hakai|funder_tula|inst_hakai|inst_tula|rawaff_hakai|ft_hakai_inst|ft_tula,7,True,include,coastal,high,Hakai/Tula affil; BC marine virus study
W2904061783,10.1038/s41396-018-0334-3,"Seasonal and ecohydrological regulation of active microbial populations involved in DOC, CO2, and CH4 fluxes in temperate rainforest soil","Abstract The Pacific coastal temperate rainforest (PCTR) is a global hot-spot for carbon cycling and export. Yet the influence of microorganisms on carbon cycling processes in PCTR soil is poorly characterized. We developed and tested a conceptual model of seasonal microbial carbon cycling in PCTR soil through integration of geochemistry, micro-meteorology, and eukaryotic and prokaryotic ribosomal amplicon (rRNA) sequencing from 216 soil DNA and RNA libraries. Soil moisture and pH increased during the wet season, with significant correlation to net CO2 flux in peat bog and net CH4 flux in bog forest soil. Fungal succession in these sites was characterized by the apparent turnover of Archaeorhizomycetes phylotypes accounting for 41% of ITS libraries. Anaerobic prokaryotes, including Syntrophobacteraceae and Methanomicrobia increased in rRNA libraries during the wet season. Putatively active populations of these phylotypes and their biogeochemical marker genes for sulfate and CH4 cycling, respectively, were positively correlated following rRNA and metatranscriptomic network analysis. The latter phylotype was positively correlated to CH4 fluxes (r = 0.46, p &amp;lt; 0.0001). Phylotype functional assignments were supported by metatranscriptomic analysis. We propose that active microbial populations respond primarily to changes in hydrology, pH, and nutrient availability. The increased microbial carbon export observed over winter may have ramifications for climate–soil feedbacks in the PCTR.",2018.0,2018-12-11,article,en,The ISME Journal,journal,True,hybrid,56,4.4868,0.94582736,False,True,94,Peatlands and Wetlands Ecology,Environmental Science,Physical Sciences,"[{""id"": ""T12091"", ""name"": ""Peatlands and Wetlands Ecology"", ""field"": ""Environmental Science""}, {""id"": ""T11791"", ""name"": ""Microbial Community Ecology and Physiology"", ""field"": ""Environmental Science""}, {""id"": ""T10995"", ""name"": ""Methane Hydrates and Related Phenomena"", ""field"": ""Environmental Science""}]",8,A5032819899|A5015300349|A5068986976|A5030929001|A5059962155|A5030023294|A5101411528|A5028186844,David J. Levy‐Booth|Ian Giesbrecht|Colleen T. E. Kellogg|Thierry J. Heger|David V. D’Amore|Patrick J. Keeling|Steven Hallam|William W. Mohn,I141945490|I173439891|I18014758|I4210087486|I4210124557,HES-SO University of Applied Sciences and Arts Western Switzerland|Pacific Northwest Research Station|Simon Fraser University|Tula Foundation|University of British Columbia,CA|CH|US,,True,True,False,True,True,True,False,True,True,False,funder_hakai|funder_tula|inst_tula|rawaff_hakai|ft_hakai_inst|ft_tula|ft_calvert,7,True,include,coastal,high,Hakai Tula affil; BC coastal rainforest soil
