source_id,display_name,publisher,type,issns,is_valid,is_distinct,duplicate_of,concern
S7407059819,Australian Academy of Science,Australian Academy of Science,repository,,False,False,S4306465973,"The name is a bare organization/publisher name rather than a venue title, and it duplicates the existing ""Australian Academy of Science eBooks"" source from the same publisher."
S7407059831,Australian Research Council,Australian Research Council,repository,,False,True,,"""Australian Research Council"" is a funding organization, not a scholarly venue; it appears to be a bare organization name masquerading as a repository."
S7407059834,Aridhia Informatics Ltd.,Deactivated repositories,repository,,False,True,,"""Aridhia Informatics Ltd."" is a company/organization name paired with publisher ""Deactivated repositories"", not a genuine scholarly venue."
S7407059835,Artskart_invalid,Artsdatabanken,repository,,False,False,S7407050611,"The name ""Artskart_invalid"" appears to be a test/junk variant of the existing ""Artskart"" repository from the same publisher."
S7407059858,CHE Gemeinnütziges Centrum für Hochschulentwicklung GmbH,CHE Gemeinnütziges Centrum für Hochschulentwicklung GmbH,repository,,False,True,,"The display_name is identical to the publisher name (a bare organization/think-tank name) rather than an actual scholarly venue title, and it has no ISSN."
S7407059860,Sunstone Institute,Sunstone Institute AS,repository,,False,True,,"The name ""Sunstone Institute"" appears to be a bare organization/publisher name rather than a distinct scholarly venue, and closely mirrors the publisher ""Sunstone Institute AS"" with no ISSN."
S7407059861,orecord,OALL SINGAPORE PTE. LTD.,repository,,False,True,,"The display name ""orecord"" appears to be a garbled or truncated non-descriptive label rather than a genuine scholarly venue title."
S7407059863,Freshwater Biological Association,Deactivated repositories,repository,,False,False,S4306470988,"This is a bare organization name with publisher ""Deactivated repositories"" and appears to be a variant of the existing Freshwater Biological Association eBooks platform."
S7407059864,University of Huddersfield,University of Huddersfield,repository,,False,False,S4306401852,"The name is a bare institution name masquerading as a venue, and it matches the existing ""University of Huddersfield Repository"" record as a repository type."
S7407059865,Public Health England,The British Library,repository,,False,True,,"""Public Health England"" is a government organization/agency name, not a genuine scholarly venue title, and the publisher ""The British Library"" appears inconsistent."
S7407059867,Max Planck Institute for Meteorology,Max Planck Digital Library,repository,,False,True,,The name is a bare research institution/organization name rather than a specific scholarly venue or repository title.
